kappa,trial,c,eps,n_outer,total_inner,converged,rp,rs,f_rel,lam_rel,cpu
10.0,5,1000.0,0.0001,4,169,True,8.147045508601786e-08,3.986718767918503e-07,6.818988552676273e-11,6.130495370091204e-09,0.0009946823120117188
10.0,5,10000.0,0.0001,4,197,True,5.576558748567148e-08,8.426416337505628e-07,2.3736751369846385e-10,1.5087822548688427e-08,0.001993894577026367
10.0,5,0.0001,1e-06,500,10740,False,31.83245165099579,1.572205242461147e-08,0.4469542686187103,0.37358118593768375,0.08944916725158691
10.0,5,0.001,1e-06,500,10765,False,0.04349385844425584,2.699922037462673e-10,0.0004486305165829101,0.0006949550231145497,0.08906984329223633
10.0,5,0.01,1e-06,141,2959,True,9.311873784201223e-07,4.856895826689737e-14,6.649687982977928e-09,1.550014657279411e-08,0.02570962905883789
10.0,5,0.1,1e-06,21,582,True,6.801006302289966e-07,6.446822530903323e-13,5.675209099787261e-09,1.1214762436442251e-08,0.005262613296508789
10.0,5,1.0,1e-06,7,273,True,2.675496061092154e-07,2.0939563819382937e-11,2.8829170137983186e-09,4.260479754115913e-09,0.0019941329956054688
10.0,5,10.0,1e-06,4,197,True,1.078409002712839e-07,8.935802580273504e-10,1.4102792748035653e-09,1.6506209198025102e-09,0.0010080337524414062
10.0,5,100.0,1e-06,3,158,True,2.2890643754258367e-08,1.7275687940552943e-08,2.1798247205889522e-10,3.029681547952092e-10,0.001990795135498047
10.0,5,1000.0,1e-06,3,185,True,1.624224017635176e-09,4.427321842726841e-08,7.340344688228164e-12,6.128478947677436e-10,0.0010001659393310547
10.0,5,10000.0,1e-06,3,186,True,3.534939115728049e-10,4.3252853897510736e-07,5.098395617739786e-13,2.809034103977119e-09,0.0020003318786621094
10.0,6,0.0001,0.01,500,4000,False,25.01192525475817,0.00015634716505648867,0.5679006961209342,0.2667524480883402,0.042832136154174805
10.0,6,0.001,0.01,500,3802,False,0.08192707357159537,4.628520090411841e-06,0.0006702387304507006,0.0018420345245899654,0.04375886917114258
10.0,6,0.01,0.01,172,1216,True,9.452240175214926e-07,5.638713557636016e-10,6.980928659961711e-09,2.1339862414661975e-08,0.013056039810180664
10.0,6,0.1,0.01,24,235,True,7.271303212008418e-07,7.13707144776419e-09,5.402217973339175e-09,1.641591257728985e-08,0.0019996166229248047
10.0,6,1.0,0.01,8,136,True,1.4787475593963353e-07,1.0108437022621591e-07,9.073142766269435e-10,3.695711442042591e-09,0.0010018348693847656
10.0,6,10.0,0.01,8,162,True,9.50672525126976e-08,2.3253563768426296e-07,5.461686765748974e-10,1.7175933167241633e-09,0.001004934310913086
10.0,6,100.0,0.01,9,183,True,6.180074841106858e-10,3.8416357203746226e-07,3.347008154875717e-12,6.206443316390128e-09,0.0020058155059814453
10.0,6,1000.0,0.01,9,197,True,6.07107089438883e-10,5.248441131200154e-07,4.619555281919724e-12,5.928512893238469e-09,0.0019958019256591797
10.0,6,10000.0,0.01,10,266,True,1.1949357470731972e-11,3.3363579704498897e-08,1.1370149455361035e-13,2.268861107518509e-10,0.003002643585205078
10.0,6,0.0001,0.0001,500,7500,False,25.011830809283072,1.323262401666692e-06,0.5678989265919181,0.2667514646027333,0.07023453712463379
